tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,0.04533233427089,0.0461270988220496,0.1752,2,S**
T2-T4,0.0002601828448417,0.0001334630900855,0.3024,2,M***
T2-T5,3.6975447120850514e-05,0.0004957856447779,-0.3274,2,M***
T3-T4,5.206523834552057e-07,6.449772034316297e-06,0.4212,2,M***
T3-T5,0.3324041124169895,0.3023076019657809,0.1026,2,S*
T4-T5,0.4035204067293405,0.4473324208168965,-0.0938,2,S*
T2-T3-T4,0.0001247748196532,4.036859489926203e-05,0.3074,3,M***
T2-T3-T5,0.7865875986759077,0.8311895778148274,-0.0072,3,S*
T2-T4-T5,0.7283588951889461,0.6799004477897137,-0.0522,3,S*
T3-T4-T5,0.0278091379070253,0.0270467196798222,0.1602,3,S**
T2-T3-T4-T5,0.8058984863875196,0.8797498813382739,0.022,4,S*
