tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation,constituent_tasks
T1-T2-T4,1.1274874847813264e-06,5.308545465844804e-07,0.3739,3,M***,T1-T2-T4
T1-T4-T2,1.45836326053199e-06,3.325091718830457e-05,0.3743,3,M***,T1-T2-T4
T2-T1-T4,1.1772101563243907e-07,1.011869573681046e-06,0.42,3,M***,T1-T2-T4
T2-T4-T1,0.0867165743724825,0.0974628946968216,0.1458,3,S*,T1-T2-T4
T4-T1-T2,5.865642685645232e-06,1.0761470750579786e-05,0.3563,3,M***,T1-T2-T4
T4-T2-T1,0.0069160346473299,0.0157982752383089,0.2158,3,S***,T1-T2-T4
T1-T2-T5,0.0009147657711013,0.0017241052291106,-0.2517,3,S***,T1-T2-T5
T1-T5-T2,0.1092270345425261,0.0987567828704781,0.1123,3,S*,T1-T2-T5
T2-T1-T5,0.0004494899703678,0.0026699583009608,-0.2755,3,S***,T1-T2-T5
T2-T5-T1,0.1924643394889922,0.1788216699868596,-0.1045,3,S*,T1-T2-T5
T5-T1-T2,0.9107547033888708,0.8702658639683042,-0.0148,3,S*,T1-T2-T5
T5-T2-T1,0.953961323937576,0.9342331344722044,0.009,3,S*,T1-T2-T5
T1-T4-T5,0.1837882070262247,0.2082333780182755,-0.1036,3,S*,T1-T4-T5
T1-T5-T4,0.0010009475651013,0.0037287720069916,0.2584,3,S***,T1-T4-T5
T4-T1-T5,0.8451848510485077,0.6363745268073805,-0.031,3,S*,T1-T4-T5
T4-T5-T1,0.0203586502624273,0.0171829411268003,0.1988,3,S**,T1-T4-T5
T5-T1-T4,0.0047976420115069,0.0035291245048996,0.2199,3,S***,T1-T4-T5
T5-T4-T1,0.0526606878762932,0.0276471720679112,0.1663,3,S*,T1-T4-T5
T1-T2-T4-T5,0.2821661287035584,0.2645332147617405,0.0898,4,S*,T1-T2-T4-T5
T1-T2-T5-T4,0.0010134081285627,0.0020685873035842,0.2478,4,S***,T1-T2-T4-T5
T1-T4-T2-T5,0.0123795834074199,0.0129839254445661,-0.1962,4,S**,T1-T2-T4-T5
T1-T4-T5-T2,0.0401270437318099,0.0231451413730554,0.1715,4,S**,T1-T2-T4-T5
T1-T5-T2-T4,3.828217092362826e-09,4.154659382120909e-08,0.4464,4,L***,T1-T2-T4-T5
T1-T5-T4-T2,4.660627806816963e-06,1.8790763966795816e-06,0.3565,4,M***,T1-T2-T4-T5
T2-T1-T4-T5,0.6510224911746678,0.5693236967899675,0.0326,4,S*,T1-T2-T4-T5
T2-T1-T5-T4,0.0002877425866702,0.0010062539739552,0.2774,4,S***,T1-T2-T4-T5
T2-T4-T1-T5,0.0010484561800406,0.0015879270129764,-0.2566,4,S***,T1-T2-T4-T5
T2-T4-T5-T1,0.9485934119327376,0.7322648513458592,-0.0223,4,S*,T1-T2-T4-T5
T2-T5-T1-T4,1.263673054048087e-05,1.582816836749096e-05,0.3396,4,M***,T1-T2-T4-T5
T2-T5-T4-T1,0.0407437532194226,0.0561338447824977,0.1589,4,S**,T1-T2-T4-T5
T4-T1-T2-T5,0.0155699383095065,0.021048165873769,-0.1927,4,S**,T1-T2-T4-T5
T4-T1-T5-T2,0.0246643153087596,0.0253098635741307,0.1614,4,S**,T1-T2-T4-T5
T4-T2-T1-T5,0.6144060700353418,0.5519569797477354,0.0313,4,S*,T1-T2-T4-T5
T4-T2-T5-T1,0.4011392518143934,0.5025535674478137,0.0831,4,S*,T1-T2-T4-T5
T4-T5-T1-T2,0.0025623813548884,0.0135346687223561,0.2247,4,S***,T1-T2-T4-T5
T4-T5-T2-T1,0.3963196471734116,0.4841113598501098,0.0688,4,S*,T1-T2-T4-T5
T5-T1-T2-T4,1.4736744498808658e-08,5.752605251763109e-07,0.4377,4,L***,T1-T2-T4-T5
T5-T1-T4-T2,0.0002639731738395,0.0002843480138556,0.291,4,M***,T1-T2-T4-T5
T5-T2-T1-T4,2.9097149527541338e-08,1.2685347484763104e-06,0.4299,4,M***,T1-T2-T4-T5
T5-T2-T4-T1,0.3693646706700866,0.4151361897356921,0.0719,4,S*,T1-T2-T4-T5
T5-T4-T1-T2,0.00786183809532,0.0117827114049926,0.1942,4,S***,T1-T2-T4-T5
T5-T4-T2-T1,0.4714207726366797,0.6302560094698939,0.0441,4,S*,T1-T2-T4-T5
