tasks,dare_ties_pass10,ties_pass10,weight-averaging_pass10
T1-T2,40.54% (+1.43),39.88% (+0.77),41.46% (+2.35)
T1-T3,41.72% (+2.61),42.24% (+3.13),42.37% (+3.26)
T1-T4,38.94% (-0.17),37.78% (-1.33),38.61% (-0.5)
T1-T5,35.18% (-3.93),34.43% (-4.68),34.76% (-4.35)
T1-T2-T3,41.53% (+2.42),42.94% (+3.83),43.12% (+4.01)
T1-T2-T4,39.64% (+0.53),40.22% (+1.11),41.57% (+2.46)
T1-T2-T5,37.91% (-1.2),39.81% (+0.7),37.8% (-1.31)
T1-T3-T4,40.49% (+1.38),39.39% (+0.28),39.47% (+0.36)
T1-T3-T5,38.24% (-0.87),39.34% (+0.23),37.25% (-1.86)
T1-T4-T5,37.23% (-1.88),38.29% (-0.82),36.18% (-2.93)
T1-T2-T3-T4,39.76% (+0.65),41.14% (+2.03),41.74% (+2.63)
T1-T2-T3-T5,40.61% (+1.5),40.35% (+1.24),40.77% (+1.66)
T1-T2-T4-T5,38.3% (-0.81),39.09% (-0.02),38.82% (-0.29)
T1-T3-T4-T5,37.46% (-1.65),38.23% (-0.88),38.33% (-0.78)
T1-T2-T3-T4-T5,39.01% (-0.1),39.84% (+0.73),37.31% (-1.8)
