T2-T5,0.2628048780487805,0.3649471234044216
T3-T4-T5,0.2710365853658536,0.3758273271695457
T2-T3-T4-T5,0.2783536585365854,0.38198224791141805
T4-T5,0.2478658536585366,0.3433254288187083
T2-T3-T5,0.2847560975609756,0.39169086689946775
T2-T3,0.31951219512195117,0.41792249791287017
T3-T5,0.26829268292682923,0.3699643207732387
T3-T4,0.27896341463414637,0.392107731806063
T2-T4,0.2719512195121951,0.3789167017381923
T2-T3-T4,0.29115853658536583,0.4101927248542442
T2-T4-T5,0.25884146341463415,0.3564451057135872
