T1-T2-T4,27.5,27.35,27.32
T1-T2-T5,25.37,25.88,25.73
T1-T4-T2,28.78,28.81,28.29
T1-T4-T5,25.43,24.63,25.43
T1-T5-T2,27.59,28.11,27.9
T1-T5-T4,25.95,25.09,26.07
T2-T1-T4,27.5,27.35,28.17
T2-T1-T5,25.37,25.88,25.52
T2-T4-T1,28.78,28.96,29.21
T2-T5-T1,27.41,28.2,27.68
T4-T1-T2,28.78,28.81,28.11
T4-T1-T5,25.43,24.63,24.73
T4-T2-T1,28.78,28.96,29.3
T4-T5-T1,26.46,25.73,27.07
T5-T1-T2,27.59,28.11,27.84
T5-T1-T4,25.95,25.09,26.28
T5-T2-T1,27.41,28.2,28.11
T5-T4-T1,26.46,25.73,26.8
T1-T2-T4-T5,25.73,24.33,25.03
T1-T2-T5-T4,25.67,25.55,25.21
T1-T4-T2-T5,25.73,25.49,25.43
T1-T4-T5-T2,27.16,27.29,26.31
T1-T5-T2-T4,26.43,26.46,25.85
T1-T5-T4-T2,27.38,27.96,27.47
T2-T1-T4-T5,25.73,24.33,25.46
T2-T1-T5-T4,25.67,25.55,25.76
T2-T4-T1-T5,25.55,25.3,25.4
T2-T4-T5-T1,27.13,27.35,27.04
T2-T5-T1-T4,26.52,27.16,26.77
T2-T5-T4-T1,27.32,27.2,27.59
T4-T1-T2-T5,25.73,25.49,25.73
T4-T1-T5-T2,27.16,27.29,27.01
T4-T2-T1-T5,25.55,25.3,25.4
T4-T2-T5-T1,27.13,27.35,28.02
T4-T5-T1-T2,28.26,28.38,28.69
T4-T5-T2-T1,29.02,28.69,28.57
T5-T1-T2-T4,26.43,26.46,27.26
T5-T1-T4-T2,27.38,27.96,28.08
T5-T2-T1-T4,26.52,27.16,27.41
T5-T2-T4-T1,27.32,27.2,27.62
T5-T4-T1-T2,28.26,28.38,28.32
T5-T4-T2-T1,29.02,28.69,28.41
